Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2015-05-01,0.0595,0.0009,48.58,positive
2015-05-04,0.0252,0.0,48.37,positive
2015-05-05,0.0406,0.0003,47.82,positive
2015-05-06,0.0698,0.0026,47.57,positive
2015-05-07,0.1231,0.0018,46.27,positive
2015-05-08,0.0593,0.0012,47.55,positive
2015-05-11,0.0547,0.0001,47.55,positive
2015-05-12,0.1191,0.0011,46.85,positive
2015-05-13,0.0756,0.0056,48.19,positive
2015-05-14,0.1709,0.0546,48.0301,positive
2015-05-15,0.0552,0.0061,48.87,positive
2015-05-18,0.0558,0.0022,47.98,positive
2015-05-19,0.0317,0.0012,47.56,positive
2015-05-20,0.0414,0.0003,47.39,positive
2015-05-21,0.0785,-0.0028,47.28,positive
2015-05-22,0.0382,-0.0013,47.3,positive
2015-05-25,0.0334,0.002,47.3,positive
2015-05-26,0.0725,-0.0116,46.83,positive
2015-05-27,0.0973,0.0011,46.82,positive
2015-05-28,0.0909,0.0039,47.5,positive
2015-05-29,0.0607,-0.0005,47.43,positive
2015-06-01,0.0184,0.0,47.06,positive
2015-06-02,0.0418,0.0006,46.93,positive
2015-06-03,0.1062,0.0004,47.37,positive
2015-06-04,0.095,0.0014,46.79,positive
2015-06-05,0.0728,0.0007,46.31,positive
2015-06-08,0.0745,-0.0007,46.3,positive
2015-06-09,0.0599,0.001,45.76,positive
2015-06-10,0.0813,0.002,45.79,positive
2015-06-11,0.0556,0.0005,46.66,positive
2015-06-12,0.0997,0.0006,46.22,positive
2015-06-15,0.0286,-0.0004,45.45,positive
2015-06-16,0.0329,-0.0004,45.35,positive
2015-06-17,0.0394,0.0008,45.73,positive
2015-06-18,0.1184,0.0001,46.22,positive
2015-06-19,0.0842,-0.0006,46.79,positive
2015-06-22,0.0201,0.0001,46.33,positive
2015-06-23,0.0728,0.0009,46.13,positive
2015-06-24,0.0579,0.0013,45.67,positive
2015-06-25,0.0947,-0.0042,46.03,positive
2015-06-26,0.0406,-0.0065,45.65,positive
2015-06-29,0.0201,-0.0005,45.04,positive
2015-06-30,0.1136,-0.0134,44.71,positive
2015-07-01,0.1052,-0.0014,44.46,positive
2015-07-02,0.1017,-0.0011,44.48,positive
2015-07-03,0.0562,-0.0313,44.48,positive
2015-07-06,0.0886,0.0005,43.96,positive
2015-07-07,0.0533,-0.0011,44.34,positive
2015-07-08,0.0767,-0.715,44.44,positive
2015-07-09,0.2385,-0.5399,44.75,positive
2015-07-10,0.0846,-0.0387,45.01,positive
2015-07-13,0.0284,-0.0019,44.975,positive
2015-07-14,0.1002,0.0004,45.45,positive
2015-07-15,0.0698,-0.0008,45.68,positive
2015-07-16,0.0409,-0.0024,46.01,positive
2015-07-17,0.0409,0.0016,46.55,positive
2015-07-20,0.1086,0.0014,46.65,positive
2015-07-21,0.0966,-0.0063,46.78,positive
2015-07-22,0.2559,-0.6129,45.44,positive
2015-07-23,-0.0968,-0.0811,45.27,negative
2015-07-24,0.0364,-0.0207,45.91,positive
2015-07-27,0.0539,0.0124,45.94,positive
2015-07-28,0.0588,-0.0016,45.58,positive
2015-07-29,0.0588,-0.0004,45.4,positive
2015-07-30,0.0588,0.0008,46.26,positive
2015-07-31,0.047,-0.0057,47.29,positive
2015-08-03,0.0533,0.0068,46.98,positive
2015-08-04,0.1025,0.0052,46.75,positive
2015-08-05,0.0512,0.0009,47.98,positive
2015-08-06,0.0718,-0.0028,47.71,positive
2015-08-07,0.0234,0.0089,46.39,positive
2015-08-10,0.0284,0.0322,46.95,positive
2015-08-11,0.051,0.0011,46.82,positive
2015-08-12,0.02,0.0004,46.19,positive
2015-08-13,0.0729,0.0011,47.06,positive
2015-08-14,0.061,0.0073,46.53,positive
2015-08-17,0.037,-0.0434,46.81,positive
2015-08-18,0.0583,-0.0005,46.84,positive
2015-08-19,0.0197,0.0005,46.78,positive
2015-08-20,0.0571,-0.0004,46.07,positive
2015-08-21,0.0233,-0.0179,45.3,positive
2015-08-24,-0.0194,-0.0113,40.45,negative
2015-08-25,0.0371,-0.0056,42.565,positive
2015-08-26,0.0569,0.0005,42.01,positive
2015-08-27,0.0774,0.0022,43.23,positive
2015-08-28,0.0401,0.0007,43.4,positive
2015-08-31,0.1035,-0.0005,43.56,positive
2015-09-01,0.1282,-0.0009,42.17,positive
2015-09-02,0.0996,0.0002,42.36,positive
2015-09-03,0.0424,0.0021,43.41,positive
2015-09-04,0.0486,0.0017,42.81,positive
2015-09-07,0.1107,0.0001,42.81,positive
2015-09-08,0.0921,0.0001,43.3,positive
2015-09-09,0.2538,0.0009,44.21,positive
2015-09-10,0.0384,0.0002,43.12,positive
2015-09-11,0.0408,0.0002,43.14,positive
2015-09-14,0.0149,0.0001,43.43,positive
2015-09-15,0.0765,0.0001,43.19,positive
2015-09-16,0.3612,0.0054,43.97,positive
2015-09-17,0.0858,-0.0369,44.29,positive
2015-09-18,0.0354,-0.004,43.5,positive
2015-09-21,0.0354,-0.0042,43.62,positive
